lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E07000080,86543,39.99,50.1,19578,28.496301680277053,650.07,10.9,88.54745718434275,303.3882229843258,9.90392436047781,0.7530991735537191,FALSE
E07000081,129285,54.01,56.800000000000004,20487,24.71260356740481,762.72,10.3,88.54745718434273,303.3882229843259,9.90392436047781,1.139240506329114,FALSE
E07000082,119019,27.78,61.8,20196,30.559210180088204,620.13,9.9,88.54745718434275,303.3882229843259,9.90392436047781,0.9439252336448598,FALSE
E07000083,92599,30.22,55.50000000000001,20205,28.046455899572475,621.36,8.8,88.54745718434275,303.3882229843259,9.90392436047781,1.1642949547218628,FALSE
E07000084,175729,33.64,58.3,22783,27.40871449804872,506.64,6.5,66.90744887364836,272.2483432397784,8.023786050074717,0.810126582278481,FALSE
E07000085,120681,24.21,63.9,24662,28.578870055319992,469.03,7.2,77.76088923675098,307.48531774830275,11.69875624407336,0.8686224489795917,FALSE
E07000086,131819,32.14,60.8,20647,26.502128316747587,588.06,7.2,82.65866698889536,305.72437251140525,9.73850926249563,1.371057513914657,FALSE
E07000087,116339,19.3,60.699999999999996,20307,28.615113451757786,443.91,6.8,64.83124378497475,319.64379986652455,11.6273285897133,1.1652754590984975,FALSE
E07000088,85283,34.06,50.4,19687,23.81516763211307,543.9,8.2,64.83124378497475,319.6437998665246,11.6273285897133,1.1846153846153846,TRUE
E07000089,96293,18.05,70.5,23528,30.599153631883436,475.13,6.7,72.00648334490039,291.57527153691024,8.80681882848717,0.5441176470588236,TRUE
E07000090,125813,33.66,49.9,19645,24.24218409478147,555.21,8.6,81.79057019055365,321.55340537586795,13.241111251246899,1.0345303867403315,FALSE
E07000091,179753,26.2,57.10000000000001,23355,28.93078351381755,594.6,8,82.65866698889536,305.7243725114052,9.73850926249563,0.8016194331983806,TRUE
E07000092,95142,29.82,49.3,23466,26.64787364616069,607.85,7.5,73.77927843865686,298.3447719014938,9.08529224995566,0.5445440168687401,FALSE
E07000093,125169,27.62,57.99999999999999,24155,28.28850312228442,529.61,7.3,82.65866698889536,305.72437251140514,9.73850926249563,1.1332263242375602,FALSE
E07000094,124295,28.03,72,25232,30.482612504329047,412.52,8.1,82.60586546760418,306.68505319774914,9.949528840364014,1.0470219435736676,FALSE
E07000095,96876,33.66,54,23826,26.009225682593858,635.43,8.1,66.51021088522944,346.308867204073,8.96290478466582,0.6617100371747212,FALSE
E07000096,154280,29.28,59.9,24056,30.507522264897773,579.77,8.4,81.16359655400761,328.29904293284307,8.33145750155003,0.7476439790575917,FALSE
E07000098,104205,25.97,66.2,24318,32.029902966384334,627.36,9,81.16359655400761,328.29904293284307,8.33145750155003,0.7111111111111111,FALSE
E07000099,133214,28.39,65.3,23554,31.39516997385018,596.94,8.8,67.06784973895448,345.88215421551894,8.926293366411885,0.5590304925723221,FALSE
E07000102,93045,27.44,78.10000000000001,24613,32.87232412707698,711.03,8.8,81.1635965540076,328.29904293284307,8.33145750155003,0.6704249783174328,FALSE
E07000103,96767,39.28,71.2,24854,28.180012329611614,775.19,10.2,81.16359655400761,328.29904293284307,8.33145750155003,0.7720070422535212,FALSE
E07000105,129281,26.4,46.400000000000006,19843,24.578795869482075,466.33,8.4,67.01623118390431,294.9243367075964,9.34422017300939,0.8396313364055299,TRUE
E07000106,164553,30.89,53.2,18679,25.513824185102617,464.88,10.6,69.39594972067039,274.22672576377306,7.22996701074811,0.9809782608695652,FALSE
E07000107,109709,35.26,61.8,19449,21.794640386026977,664.96,7.7,62.71433439428104,408.8926232432868,8.78130328028457,0.9682926829268294,TRUE
E07000108,116969,35.42,50.1,17378,23.980639327695336,484.78,10.1,70.1965107530133,444.006749181105,10.749732357050243,0.9342629482071713,FALSE
E07000109,106385,33.21,56.900000000000006,18453,24.535059756052533,684.6,10.1,62.714334394281025,408.8926232432868,8.78130328028457,0.7842761265580057,FALSE
E07000110,169955,27.09,60.9,20398,25.09650467981598,599.94,8.5,72.71597141565047,339.32620667314546,8.13953189068698,1.0265604249667994,TRUE
E07000111,120293,22.77,32,25029,30.177787297847274,478.81,8.2,68.64764511416482,367.36750701419675,8.399776122696016,0.7603911980440098,FALSE
E07000112,112578,33.61,43.7,17390,23.892786669590002,531.55,10.6,70.3554625991318,475.184412505842,11.4066486993624,0.8552631578947368,FALSE
E07000113,148519,32.8,50.4,17942,20.86328436989964,484.92,9.8,63.2002425489643,452.24732668046363,12.106176119316533,1.0255591054313098,TRUE
E07000114,141819,37.9,48.699999999999996,17009,23.090951350771487,568.55,12.3,52.37275800384974,369.635696612917,10.0523245839767,0.8603678929765887,FALSE
E07000115,130508,25.9,56.2,25094,26.229638695682457,542.58,7.9,72.71597141565047,339.3262066731455,8.13953189068698,0.8157894736842106,FALSE
E07000116,118054,29.29,70.10000000000001,25407,30.059514023608326,544.18,9,72.71597141565047,339.32620667314546,8.13953189068698,0.6281287246722288,FALSE
E07000117,88527,57.68,42.6,14604,24.73581328355796,768.95,16.4,71.00713944511148,360.1924361317996,11.3914869005889,1.0689149560117301,TRUE
E07000118,116821,38.1,65.4,18696,25.431651964110685,628.44,9.8,66.10628600911514,234.54218948117295,10.382332661862698,1.051150895140665,TRUE
E07000120,80815,65.36,57.10000000000001,14818,25.21370961250543,693.76,15.4,71.00713944511148,360.1924361317996,11.3914869005889,1.101131541725601,FALSE
E07000122,91405,56.97,57.300000000000004,14628,26.234104335636328,597.44,17.3,71.00713944511148,360.19243613179964,11.3914869005889,1.1101949025487254,FALSE
E07000124,60057,43.55,69.80000000000001,18086,30.888478995253983,503.31,10.2,71.86349721389162,339.7590903848182,11.3914869005889,0.829734219269103,TRUE
E07000125,70895,50.24,58.699999999999996,15285,23.763448624449417,578.24,12.1,71.00713944511148,360.1924361317996,11.3914869005889,0.9958982772764561,TRUE
E07000126,110527,33.47,64.7,17585,26.267454166808918,566.18,9.5,70.29714698954406,244.3732536095272,10.3823326618627,0.9780509218612818,TRUE
E07000127,113949,39.85,57.99999999999999,18623,25.867981840154165,648.39,10.7,60.5358740853819,760.4871209248596,10.6097264630371,1.2819593787335721,FALSE
E07000129,100421,30.21,56.50000000000001,18334,28.812896058976495,592.09,7,82.46157943923829,361.91538172518017,9.268619772208709,1.3898858075040783,FALSE
E07000130,182643,31.59,53,18970,28.690338429055767,571.33,8.8,78.3851438143702,324.6197439366178,10.132864020102957,1.1714697406340056,FALSE
E07000131,92499,25.61,63.1,18622,30.601607379207774,561.17,6.9,82.66262523374535,363.7612840810861,9.234780779054466,0.8020594965675056,TRUE
E07000132,112423,31.65,50.9,18063,27.147266509748192,602.95,7.6,77.86036707032218,319.8367484027246,10.2397760845903,1.205607476635514,FALSE
E07000133,51100,31.51,57.2,18089,30.6826230308951,568.76,8.3,83.18648979847403,368.57403743722415,9.12245220176382,1.3069466882067853,TRUE
E07000134,102126,34.73,54.1,18256,24.8420741543425,615.68,7.9,77.8603670703222,319.8367484027246,10.2397760845903,1.234375,FALSE
E07000135,57056,42.39,60.6,17996,30.488529133581153,648.6,8.2,83.18648979847403,368.57403743722415,9.12245220176382,1.3510791366906476,TRUE
E07000136,69366,50.87,50.3,16659,22.808523069619678,620.5,9.9,60.9251925671265,456.39562285234416,13.330850775718702,1.2340425531914894,TRUE
E07000137,140741,52.2,51.5,15878,27.034489855420446,681.15,10.1,60.9251925671265,456.39562285234416,13.3308507757187,1.2336655592469548,FALSE
E07000138,99039,56.07,47.300000000000004,18247,23.91073063314942,713.31,10.6,63.62698782354116,410.94618491523204,11.549936070464598,0.9934640522875817,TRUE
E07000139,115985,34.49,57.50000000000001,16992,27.960325042669904,585.71,7.3,64.69041922499024,363.50064181996055,12.084624509854404,0.9461009174311926,FALSE
E07000140,93980,48.66,54.2,16634,24.71482387152204,579.92,7.7,60.85376804164499,348.313189087059,11.903645010198762,1.2380422691879864,TRUE
E07000141,141853,33.66,63.800000000000004,17145,29.18967874837953,567.86,8.2,63.62389069965305,316.8669891621905,12.33805102137057,0.9671120246659815,FALSE
E07000142,94869,35.24,60.9,16597,29.20918200702891,536.28,9.3,63.03260465872933,420.4472448748611,11.925553163250717,0.9716599190283401,TRUE
E07000143,139329,27.47,48.1,17225,27.223575862130296,596.25,10,71.59056745483355,225.55784996637144,12.0514855585079,1.0148148148148148,TRUE
E07000144,129464,28.38,55.900000000000006,17096,29.93357150302766,584.36,8.8,77.06280784813538,237.2743516804232,11.7470664928292,0.8242548818088387,FALSE
E07000145,99370,43.77,40.2,16411,24.01629245970885,691.43,13.2,63.62169624590408,334.78147979858863,11.9712338982358,0.9861495844875346,FALSE
E07000146,151811,33.83,44.7,17859,27.067441727371577,830.52,10.7,74.49336049707387,288.467029891832,12.0514855585079,1.5044150110375278,FALSE
E07000147,104552,28.48,45.800000000000004,17587,30.61189763136401,620.19,11.6,84.7836298850838,229.6526848565943,11.7470664928292,0.9318885448916407,FALSE
E07000150,70827,48.94,39.4,18540,19.555780098050224,863.93,8.1,98.18601340239083,248.654435596228,10.3014631482582,0.4540190735694823,TRUE
E07000151,84484,33,56.800000000000004,19988,30.71638715072953,654.14,7.4,67.85345938363345,319.172061228989,10.4946156390422,1.0941644562334216,FALSE
E07000152,93906,39.52,51.1,18375,28.080621753224733,672.18,7.8,68.28646164875461,323.5963342713646,10.17231467233471,0.4776595744680851,FALSE
E07000153,101266,36.92,51.300000000000004,18362,26.921451891684274,839.14,8.5,67.85345938363346,319.1720612289889,10.4946156390422,0.40668868703550787,FALSE
E07000154,225146,47.46,49.8,20006,27.239076111072187,831.14,8.5,67.85345938363346,319.1720612289889,10.4946156390422,1.278466741826381,TRUE
E07000155,92515,28.8,65.5,20271,33.632249989684624,531.45,6.8,67.85345938363346,319.172061228989,10.4946156390422,1.1394700139470013,TRUE
E07000156,79478,39.27,46.6,17989,27.94552796351093,782.83,8.6,67.85345938363345,319.1720612289889,10.4946156390422,0.5419354838709678,TRUE
E07000163,56832,25.88,64,20259,29.89715070963863,766.36,9.4,94.91282471553762,286.73939492334733,12.872941176470603,0.805921052631579,TRUE
E07000164,91134,34.21,60.6,20397,28.955235886366985,611.52,8.3,90.28831729515755,275.7104452789158,10.915722776357525,1.3413078149920254,TRUE
E07000165,160533,32.77,69.80000000000001,21292,31.576802827165235,691.03,8.2,99.05442524125526,281.1044577511643,9.08646947009369,0.8430379746835444,FALSE
E07000166,53244,36.96,61.1,21131,28.453436035450792,521.32,9,92.54079737018391,274.3446609865178,11.0508799354546,1.5017361111111112,TRUE
